product_code,product_name,product_family,product_category,status,candidate_code,candidate_name,candidate_score,candidate_has_recipe_flag,candidate_bom_count,erp_insumo_id,erp_insumo_nombre,erp_preparation_recipe_exists,search_terms
700818121504,TAZA MEDIDORA 250ML  VIDRIO,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
190318121203,TAZA MEDIDORA CON BASCULA,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
17701116,TAZA MEDIDORA DE 1 LTS,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
700818121506,TAZA MEDIDORA VIDRIO 1 LTS,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
0313,TE DEL JARDIN,Bebidas,TE,MISSING_IN_POINT,OTS000313,DECO MEZCLA CORAZON PERLA ROSA GRANILLO 1KG,41.67,False,0,,,False,0313
700818122104,TEMPORIZADOR,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
7112TO,Tenedores Oro,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
7112TR,Tenedores Rosa,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
00445,Vaso Galleta Chispas Chocolate Mini,Vasos Preparados,Vaso Preparado Mini,MISSING_IN_POINT,,,,False,,,,False,
00446,Vaso Galleta Chispas de Chocolate Gde,Vasos Preparados,Vasos Preparados Grande,MISSING_IN_POINT,,,,False,,,,False,
8448VO,Vaso Solido Oro,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
8448VR,Vaso Solido Rosa,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
VHROSA,VELA HUMO ROSA,Velas,Velas Sparklers,MISSING_IN_POINT,,,,False,,,,False,
0314,VELA REPUESTO,Velas,Pillines,MISSING_IN_POINT,,,,False,,,,False,
CND000951,VELA SPAGUETI ROSA PERLADO,Velas,Alegría,MISSING_IN_POINT,,,,False,,,,False,
