codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
CND000980,VELA ROSA BRILLOS Y DORADA,Alegría,13,754,0,0,-13,-754,13,754,0,0,,VELA ROSA BRILLOS Y DORADA
CND000949,VELA ESPAGUETI NEGRO PERLADO,Alegría,10,750,0,0,-10,-750,10,750,0,0,,VELA ESPAGUETI NEGRO PERLADO
7186/8,VELA METALICA No. 8 DORADO,Granmark,19,665,0,0,-19,-665,19,665,0,0,,VELA METALICA No. 8 DORADO
CHEESETORTCH,,,0,0,1,590,1,590,0,0,0,0,Cheesecake Tortuga Chico,
CHEESETORTM,Cheesecake Tortuga M,Cheesecake,1,590,0,0,-1,-590,1,590,0,0,,Cheesecake Tortuga M
7186/0,VELA METALICA No. 0 DORADO,Granmark,15,525,0,0,-15,-525,15,525,0,0,,VELA METALICA No. 0 DORADO
7186/1R,VELA METALICA No. 1 ROSA,Granmark,15,525,0,0,-15,-525,15,525,0,0,,VELA METALICA No. 1 ROSA
7186/4,VELA METALICA No. 4 DORADO,Granmark,15,525,0,0,-15,-525,15,525,0,0,,VELA METALICA No. 4 DORADO
0320,EXTRA 100,Otros postres,5,500,0,0,-5,-500,5,500,0,0,,EXTRA 100
7186/9,VELA METALICA No. 9 DORADO,Granmark,14,490,0,0,-14,-490,14,490,0,0,,VELA METALICA No. 9 DORADO
0304,Servicio Domicilio 2,Otros postres,31,465,0,0,-31,-465,31,465,0,0,,Servicio Domicilio 2
7186/2R,VELA METALICA No. 2 ROSA,Granmark,13,455,0,0,-13,-455,13,455,0,0,,VELA METALICA No. 2 ROSA
7186/3,VELA METALICA No. 3 DORADO,Granmark,13,455,0,0,-13,-455,13,455,0,0,,VELA METALICA No. 3 DORADO
7186/7,VELA METALICA No. 7 DORADO,Granmark,13,455,0,0,-13,-455,13,455,0,0,,VELA METALICA No. 7 DORADO
5430,Pastel Lotus R,Rebanada,77,5225,78,5670,1,445,77,5225,0,0,Pastel 3 Leches Lotus - Chico,Pastel Lotus R
7186/3R,VELA METALICA No. 3 ROSA,Granmark,12,420,0,0,-12,-420,12,420,0,0,,VELA METALICA No. 3 ROSA
7186/5,VELA METALICA No. 5 DORADO,Granmark,12,420,0,0,-12,-420,12,420,0,0,,VELA METALICA No. 5 DORADO
CND000951,VELA SPAGUETI ROSA PERLADO,Alegría,7,420,0,0,-7,-420,7,420,0,0,,VELA SPAGUETI ROSA PERLADO
7186/4R,VELA METALICA No. 4 ROSA,Granmark,11,385,0,0,-11,-385,11,385,0,0,,VELA METALICA No. 4 ROSA
7186/6,VELA METALICA No. 6 DORADO,Granmark,10,350,0,0,-10,-350,10,350,0,0,,VELA METALICA No. 6 DORADO
CND00095,VELA ESPAGUETI COLORES,Alegría,13,338,0,0,-13,-338,13,338,0,0,,VELA ESPAGUETI COLORES
1849,Vaso con crema grande,Vasos Preparados Grande,5,325,0,0,-5,-325,5,325,0,0,,Vaso con crema grande
6792,Piñatero Chico,Pastel Chico,1,320,0,0,-1,-320,1,320,0,0,,Piñatero Chico
CND001097,VELA ESPIRAL ROSA MORADO AZUL BRILLOS,Alegría,9,315,0,0,-9,-315,9,315,0,0,,VELA ESPIRAL ROSA MORADO AZUL BRILLOS
CND000945,VELA NEGRO PERLADO 13 CM S/BASE,Alegría,4,300,0,0,-4,-300,4,300,0,0,,VELA NEGRO PERLADO 13 CM S/BASE
CND001092,VELA LISA LARGA VERDE PERLA C/BASE,Alegría,6,288,0,0,-6,-288,6,288,0,0,,VELA LISA LARGA VERDE PERLA C/BASE
01BLN01,Bolitas de Nuez 10 PZ,Galletas,82,1640,83,1890,1,250,82,1640,0,0,Bolitas de Nuez 10 PZ,Bolitas de Nuez 10 PZ
05021,Bolitas de Nuez KG,Galletas,1,250,0,0,-1,-250,1,250,0,0,,Bolitas de Nuez KG
7186/8R,VELA METALICA No. 8 ROSA,Granmark,7,245,0,0,-7,-245,7,245,0,0,,VELA METALICA No. 8 ROSA
7186/00,VELA METALICA ? DORADO,Granmark,6,210,0,0,-6,-210,6,210,0,0,,VELA METALICA ? DORADO
7186/9R,VELA METALICA No. 9 ROSA,Granmark,6,210,0,0,-6,-210,6,210,0,0,,VELA METALICA No. 9 ROSA
7186/6R,VELA METALICA No. 6 ROSA,Granmark,5,175,0,0,-5,-175,5,175,0,0,,VELA METALICA No. 6 ROSA
0303,Servicio Domicilio 1,Otros postres,6,150,0,0,-6,-150,6,150,0,0,,Servicio Domicilio 1
7186/7R,VELA METALICA No. 7 ROSA,Granmark,4,140,0,0,-4,-140,4,140,0,0,,VELA METALICA No. 7 ROSA
CND000943,VELA DORADA,Alegría,2,136,0,0,-2,-136,2,136,0,0,,VELA DORADA
1225,Empaque Pay,PLÁSTICOS,44,132,0,0,-44,-132,44,132,0,0,,Empaque Pay
7186/0R,VELA METALICA No. 0 ROSA,Granmark,3,105,0,0,-3,-105,3,105,0,0,,VELA METALICA No. 0 ROSA
7186/5R,VELA METALICA No. 5 ROSA,Granmark,3,105,0,0,-3,-105,3,105,0,0,,VELA METALICA No. 5 ROSA
10063,ADEREZO AGRIDULCE,Otros postres,1,97,0,0,-1,-97,1,97,0,0,,ADEREZO AGRIDULCE
1245,Empaque Pastel,PLÁSTICOS,30,90,0,0,-30,-90,30,90,0,0,,Empaque Pastel
875,VELA INDIVIDUAL,Alegría,18,90,0,0,-18,-90,18,90,0,0,,VELA INDIVIDUAL
0240,CAJA CH PARA VENTA,Industrias lec,5,75,0,0,-5,-75,5,75,0,0,,CAJA CH PARA VENTA
VHAZUL,VELA HUMO AZUL,Velas Sparklers,1,54,0,0,-1,-54,1,54,0,0,,VELA HUMO AZUL
1421,ENCENDEDOR MINI BIC,Accesorios de repostería,2,48,0,0,-2,-48,2,48,0,0,,ENCENDEDOR MINI BIC
84111506,CAFE STARBUCKS FRAPPUCINO,TE,1,43,0,0,-1,-43,1,43,0,0,,CAFE STARBUCKS FRAPPUCINO
803,CAJA BOLLO 1 PZ P7VENTA,Bollo,4,36,0,0,-4,-36,4,36,0,0,,CAJA BOLLO 1 PZ P7VENTA
0239,CAJA G PARA VENTA,Industrias lec,1,20,0,0,-1,-20,1,20,0,0,,CAJA G PARA VENTA
801,CAJA BOLLO 4 PZ P/VENTA,Bollo,1,13,0,0,-1,-13,1,13,0,0,,CAJA BOLLO 4 PZ P/VENTA
0308,TARJETA DE REGALO,Otros postres,2,10,0,0,-2,-10,2,10,0,0,,TARJETA DE REGALO
0001,Pay de Queso Grande,Pay Grande,366,180185.056,366,180185.0200000000,0,-0.0360000000,366,180185.020000000,0,-0.036000000,Pay de Queso Grande,Pay de Queso Grande
0002,Pay de Queso Mediano,Pay Mediano,361,142154.733,361,142154.7300000000,0,-0.0030000000,361,142154.730000000,0,-0.003000000,Pay de Queso Mediano,Pay de Queso Mediano
0003,Pay de Queso Rebanada,Rebanada,899,62860,899,62860,0,0,899,62860,0,0,Pay de Queso Rebanada,Pay de Queso Rebanada
0005,Pay de Plátano Grande,Pay Grande,6,2700,6,2700,0,0,6,2700,0,0,Pay de Plátano Grande,Pay de Plátano Grande
0006,Pay de Plátano Mediano,Pay Mediano,3,1050,3,1050,0,0,3,1050,0,0,Pay de Plátano Mediano,Pay de Plátano Mediano
005352,Pastel Piñatero Mediano,Pastel Mediano,2,900,2,900,0,0,2,900,0,0,Pastel Piñatero - Mediano,Pastel Piñatero Mediano
005353,Pastel Piñatero Grande,Pastel Grande,2,1420,2,1420,0,0,2,1420,0,0,Pastel Piñatero - Grande,Pastel Piñatero Grande
0054,Pastel de Snickers Grande,Pastel Grande,13,9750,13,9750,0,0,13,9750,0,0,Pastel Snicker's - Grande,Pastel de Snickers Grande
0055,Pastel de Snickers Mediano,Pastel Mediano,183,91425,183,91425,0,0,183,91425,0,0,Pastel Snicker's - Mediano,Pastel de Snickers Mediano
0056,Pastel de Snickers Chico,Pastel Chico,110,44000,110,44000,0,0,110,44000,0,0,Pastel Snicker's - Chico,Pastel de Snickers Chico
0058,Pastel de Snickers Rebanada,Rebanada,175,11830,175,11830,0,0,175,11830,0,0,Pastel Snicker's - Rebanada,Pastel de Snickers Rebanada
0059,Pastel de Crunch Grande,Pastel Grande,11,7920,11,7920,0,0,11,7920,0,0,Pastel Crunch - Grande,Pastel de Crunch Grande
0060,Pastel de Crunch Mediano,Pastel Mediano,148,72520,148,72520,0,0,148,72520,0,0,Pastel Crunch - Mediano,Pastel de Crunch Mediano
0061,Pastel de Crunch Chico,Pastel Chico,112,40320,112,40320,0,0,112,40320,0,0,Pastel Crunch - Chico,Pastel de Crunch Chico
0063,Pastel de Crunch R,Rebanada,122,8120,122,8120,0,0,122,8120,0,0,Pastel de Crunch R,Pastel de Crunch R
0064,Pastel de Zanahoria Grande,Pastel Grande,10,7000,10,7000,0,0,10,7000,0,0,Pastel Zanahoria - Grande,Pastel de Zanahoria Grande
0065,Pastel de Zanahoria Mediano,Pastel Mediano,148,65054,148,65054,0,0,148,65054,0,0,Pastel Zanahoria - Mediano,Pastel de Zanahoria Mediano
0089,Pastel de Vainilla Grande,Pastel Grande,1,710,1,710,0,0,1,710,0,0,Pastel Vainilla - Grande,Pastel de Vainilla Grande
0090,Pastel de Vainilla Mediano,Pastel Mediano,2,900,2,900,0,0,2,900,0,0,Pastel Vainilla - Mediano,Pastel de Vainilla Mediano
0105,Pastel de 3 Leches Mediano,Pastel Mediano,162,70470,162,70470,0,0,162,70470,0,0,Pastel 3 Leches - Mediano,Pastel de 3 Leches Mediano
0106,Pastel de 3 Leches Rebanada,Rebanada,7,490,7,490,0,0,7,490,0,0,Pastel 3 Leches - Rebanada,Pastel de 3 Leches Rebanada
0107,Pastel de 3 Pecados Grande,Pastel Grande,57,39900,57,39900,0,0,57,39900,0,0,Pastel 3 Pecados - Grande,Pastel de 3 Pecados Grande
0108,Pastel de 3 Pecados Mediano,Pastel Mediano,540,264551,540,264551,0,0,540,264551,0,0,Pastel 3 Pecados - Mediano,Pastel de 3 Pecados Mediano
0116,Bollo Chocolate,Bollo,322,11592,322,11592,0,0,322,11592,0,0,Bollo Chocolate,Bollo Chocolate
0117,Bollo Vainilla,Bollo,254,8602,254,8602,0,0,254,8602,0,0,Pastel Vainilla - Bollo,Bollo Vainilla
0118,Bollo Zanahoria,Bollo,281,7587,281,7587,0,0,281,7587,0,0,Bollo Zanahoria,Bollo Zanahoria
0119,Bollo Red Velvet,Bollo,251,7530,251,7530,0,0,251,7530,0,0,Bollo Red Velvet,Bollo Red Velvet
0126,Galleta Red Velvet,Galletas,206,6096,206,6096,0,0,206,6096,0,0,Galleta Red Velvet Mejorada 2025,Galleta Red Velvet
01284,Litro crema,Vasos Preparados Grande,6,720,6,720,0,0,6,720,0,0,Litro crema,Litro crema
0135,Empanada de Manzana,Empanadas,494,4940,494,4940,0,0,494,4940,0,0,Empanada de Manzana,Empanada de Manzana
0160,Bollo Lotus,Bollo,210,8151,210,8151,0,0,210,8151,0,0,Bollo Lotus,Bollo Lotus
0177,Letrero Chispas HB 1,Pillines,29,2320,29,2320,0,0,29,2320,0,0,Letrero Chispas HB 1,Letrero Chispas HB 1
0179,Letrero Chispas Felicidades,Pillines,20,1700,20,1700,0,0,20,1700,0,0,Letrero Chispas Felicidades,Letrero Chispas Felicidades
0180,Letrero Chispas Feliz Cumpleaños,Pillines,31,2480,31,2480,0,0,31,2480,0,0,Letrero Chispas Feliz Cumpleaños,Letrero Chispas Feliz Cumpleaños
01964,Pastel de Arándano Chico,Pastel Chico,22,8470,22,8470,0,0,22,8470,0,0,Pastel de Arándano - Chico,Pastel de Arándano Chico
01CPFCC01,Cubeta de Crema Para Fresas,Otros postres,1,2177,1,2177,0,0,1,2177,0,0,Cubeta de Crema Para Fresas,Cubeta de Crema Para Fresas
01GCC01,Galleta Chispas Chocolate,Galletas,223,7088,223,7088,0,0,223,7088,0,0,Galleta de Chispas de Chocolate,Galleta Chispas Chocolate
01GN01,Galleta Nutella,Galletas,235,7050,235,7050,0,0,235,7050,0,0,Galleta Nutella,Galleta Nutella
03SPFREB,Sabor Fresa Rebanada Pay,Rebanada,748,0,264,0,-484,0,748,0,0,0,Sabor Fresa Rebanada Pay,Sabor Fresa Rebanada Pay
